Confirmed_Cases, Deaths, Recoveres
117.0 1.0 8.0
193.0 1.0 8.0
196.0 1.0 8.0
250.0 1.0 8.0
415.0 4.0 9.0
478.0 5.0 9.0
657.0 8.0 9.0
800.0 9.0 9.0
943.0 12.0 9.0
1278.0 19.0 10.0
1470.0 21.0 0.0
2088.0 25.0 0.0
2790.0 26.0 110.0
3251.0 30.0 183.0
4042.0 38.0 184.0
4682.0 54.0 256.0
5576.0 61.0 466.0
6280.0 64.0 466.0
7398.0 80.0 466.0
8527.0 101.0 1592.0
9560.0 109.0 1324.0
11284.0 139.0 1735.0
12437.0 179.0 2175.0
12978.0 218.0 2577.0
15756.0 259.0 3012.0
16563.0 339.0 3256.0
17872.0 375.0 3791.0
19141.0 407.0 4154.0
20654.0 503.0 5162.0
22059.0 557.0 5855.0
23316.0 654.0 6589.0
24299.0 713.0 7123.0
25680.0 780.0 7758.0
27035.0 900.0 8210.0
28209.0 1007.0 8966.0
30809.0 1258.0 9698.0
32814.0 1355.0 10545.0
34356.0 1400.0 10964.0
35633.0 1564.0 11847.0
37658.0 1726.0 12543.0
39402.0 1909.0 13188.0
41650.0 2077.0 14454.0
43286.0 2241.0 14761.0
44056.0 2386.0 15149.0
45493.0 2549.0 16013.0
47147.0 2663.0 16883.0
49616.0 2841.0 18268.0
51150.0 2983.0 19231.0
52865.0 3155.0 20327.0
54457.0 3310.0 21424.0
