Confirmed_Cases, Deaths, Recoveres
73.0 1.0 4.0
82.0 2.0 4.0
102.0 2.0 4.0
113.0 2.0 13.0
119.0 2.0 13.0
142.0 3.0 14.0
156.0 3.0 14.0
194.0 4.0 15.0
244.0 5.0 20.0
330.0 4.0 23.0
396.0 7.0 24.0
499.0 10.0 34.0
536.0 10.0 40.0
657.0 12.0 43.0
727.0 20.0 45.0
887.0 20.0 73.0
987.0 24.0 84.0
1024.0 27.0 95.0
1251.0 32.0 102.0
1397.0 35.0 123.0
1998.0 58.0 148.0
2543.0 72.0 191.0
2567.0 72.0 192.0
3082.0 86.0 229.0
3588.0 99.0 229.0
4778.0 136.0 375.0
5311.0 150.0 421.0
5916.0 178.0 506.0
6725.0 226.0 620.0
7598.0 246.0 774.0
8446.0 288.0 969.0
9205.0 331.0 1080.0
10453.0 358.0 1181.0
11487.0 393.0 1359.0
12322.0 405.0 1432.0
13430.0 448.0 1768.0
14352.0 486.0 2041.0
15722.0 521.0 2463.0
17615.0 559.0 2854.0
18539.0 592.0 3273.0
20080.0 645.0 3975.0
21370.0 681.0 4370.0
23077.0 721.0 5012.0
24530.0 780.0 5498.0
26283.0 825.0 5939.0
27890.0 881.0 6523.0
29451.0 939.0 7137.0
31324.0 1008.0 7747.0
33062.0 1079.0 8437.0
34863.0 1154.0 9068.0
